Sample ID,HHID,Block,Village,Cvillage,Location,Date,Sample source,Csamplesource,Omit,Dilution,Coliforms_CFU,Ecoli_CFU,CFU_100mL,Log10CFU,Methoderror,,,,
227,GUH11,Ghatol,Udpura,3,3,28/11/2019,CH,7,0,10,220,228,2280,3.36,0,,,,
228,GUH11,Ghatol,Udpura,3,3,28/11/2019,MH,8,0,4,300+,102,408,2.61,0,,,,
229,GUH11,Ghatol,Udpura,3,3,28/11/2019,floor swab 10cm2,11,0,10,300+,300+,3000,3.48,3,,,,
230,village,Ghatol,Garnawat,1,4,16/09/2019,,10,,10,300+,300+,3000,3.48,3,,,,
231,village,Ghatol,Garnawat,1,4,16/09/2019,,10,,100,300+,40,4000,3.60,0,,,,
232,village,Ghatol,Garnawat,1,4,16/09/2019,,10,,100,300+,99,9900,4.00,0,,,,
233,village,Ghatol,Garnawat,1,2,16/09/2019,,1,,1,300+,0,0,0.00,0,,,,
234,village,Ghatol,Garnawat,1,1,16/09/2019,,1,,1,300+,0,0,0.00,0,,,,
235,village,Ghatol,Garnawat,1,1,16/09/2019,,1,,1,110,0,0,0.00,0,,,,
236,village,Ghatol,Garnawat,1,1,16/09/2019,,6,,1,201,0,0,0.00,0,,,,
237,village,Ghatol,Garnawat,1,2,16/09/2019,,9,,200,300+,300+,60000,4.78,3,,,,
238,village,Ghatol,Garnawat,1,1,16/09/2019,,9,,200,300+,300+,60000,4.78,3,,,,
239,village,Ghatol,Garnawat,1,1,16/09/2019,,9,,200,300+,300+,60000,4.78,3,,,,
240,village,Ghatol,Garnawat,1,4,16/09/2019,,12,,10,300+,0,0,0.00,0,,,,
241,village,Ghatol,Garnawat,1,4,16/09/2019,,12,,10,300+,6,60,1.78,0,,,,
242,village,Ghatol,Garnawat,1,4,16/09/2019,,12,,10,300+,0,0,0.00,0,,,,
243,village,Kushalgarh,DevdaSath,2,4,17/09/2019,,10,,1000,12,30,30000,4.48,0,,,,
244,village,Kushalgarh,DevdaSath,2,4,17/09/2019,,10,,1000,5,4,4000,3.60,0,,,,
245,village,Kushalgarh,DevdaSath,2,4,17/09/2019,,10,,1000,3,1,1000,3.00,0,,,,
246,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,1,,10,tmtc,3,30,1.48,0,,,,
247,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,1,,10,31,0,0,0.00,0,,,,
248,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,1,,10,tmtc,16,160,2.20,0,,,,
249,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,9,,200,TMTC,26,5200,3.72,0,,,,
250,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,9,,200,64,20,4000,3.60,0,,,,
251,village,Kushalgarh,DevdaSath,2,1,17/09/2019,,6,,10,tmtc,5,50,1.70,0,,,,
252,village,Kushalgarh,DevdaSath,2,4,17/09/2019,,6,,10,tmtc,46,460,2.66,0,,,,
253,village,Kushalgarh,DevdaSath,2,4,17/09/2019,,3,,10,0,78,780,2.89,0,,,,
254,village,Kushalgarh,Palakpara,6,4,19/09/2019,,10,,100,5,42,4200,3.62,0,,,,
255,village,Kushalgarh,Palakpara,6,4,19/09/2019,,10,,100,38,31,3100,3.49,0,,,,
256,village,Kushalgarh,Palakpara,6,4,19/09/2019,,10,,100,59,83,8300,3.92,0,,,,
257,village,Kushalgarh,Palakpara,6,1,19/09/2019,,1,,1,91,0,0,0.00,0,,,,
258,village,Kushalgarh,Palakpara,6,1,19/09/2019,,1,,10,24,4,40,1.60,0,,,,
259,village,Kushalgarh,Palakpara,6,2,19/09/2019,,1,,10,30,3,30,1.48,0,,,,
260,village,Kushalgarh,Palakpara,6,1,19/09/2019,,9,,200,4,23,4600,3.66,0,,,,
261,village,Kushalgarh,Palakpara,6,1,19/09/2019,,9,,200,tmtc,300+,60000,4.78,3,,,,
262,village,Kushalgarh,Palakpara,6,2,19/09/2019,,9,,200,tmtc,300+,60000,4.78,3,,,,
263,village,Kushalgarh,Palakpara,6,2,19/09/2019,,2,,10,tmtc,54,540,2.73,0,,,,
264,village,Kushalgarh,Kakanwari,7,4,20/09/2019,,12,,100,3,3,200,2.30,0,,,,
265,village,Kushalgarh,Kakanwari,7,4,20/09/2019,,12,,100,9,3,300,2.48,0,,,,
266,village,Kushalgarh,Kakanwari,7,4,20/09/2019,,10,,100,11,6,600,2.78,0,,,,
267,village,Kushalgarh,Kakanwari,7,1,20/09/2019,,1,,10,19,34,340,2.53,0,,,,
268,village,Kushalgarh,Kakanwari,7,1,20/09/2019,,1,,10,8,2,20,1.30,0,,,,
269,village,Kushalgarh,Kakanwari,7,2,20/09/2019,,1,,10,5,41,410,2.61,0,,,,
270,village,Kushalgarh,Kakanwari,7,1,20/09/2019,,9,,200,tmtc,46,9200,3.96,0,,,,
271,village,Kushalgarh,Kakanwari,7,1,20/09/2019,,9,,200,tmtc,300+,60000,4.78,3,,,,
272,village,Kushalgarh,Kakanwari,7,2,20/09/2019,,9,,200,tmtc,28,5600,3.75,0,,,,
273,village,Kushalgarh,Kakanwari,7,4,20/09/2019,,5,,10,0,120,1200,3.08,0,,,,
274,village,Ghatol,Udpura,3,1,01/10/2019,,1,,1,TMTC,0,0,0.00,0,,,,
275,village,Ghatol,Udpura,3,1,01/10/2019,,1,,10,44,15,150,2.18,0,,,,
276,village,Ghatol,Udpura,3,2,01/10/2019,,1,,1,tntc,6,6,0.78,2,,,,
277,village,Ghatol,Udpura,3,2,01/10/2019,,1,,10,93,87,870,2.94,0,,,,
278,village,Ghatol,Udpura,3,1,01/10/2019,,9,,200,TMTC,300+,60000,4.78,3,,,,
279,village,Ghatol,Udpura,3,1,01/10/2019,,9,,200,TMTC,300+,60000,4.78,3,,,,
280,village,Ghatol,Udpura,3,2,01/10/2019,,9,,200,TMTC,300+,60000,4.78,3,,,,
281,village,Ghatol,Kargachiya,8,2,3/10/2019,,1,,10,0,1,10,1.00,0,,,,
282,village,Ghatol,Kargachiya,8,1,3/10/2019,,1,,10,0,1,10,1.00,0,,,,
283,village,Ghatol,Kargachiya,8,1,3/10/2019,,1,,10,4,0,0,0.00,0,,,,
284,village,Ghatol,Kargachiya,8,1,3/10/2019,,9,,2000,1,40,80000,4.90,0,,,,
285,village,Ghatol,Kargachiya,8,1,3/10/2019,,9,,2000,0,17,34000,4.53,0,,,,
286,village,Ghatol,Kargachiya,8,4,3/10/2019,,10,,100,0,30,3000,3.48,0,,,,
287,village,Ghatol,Kargachiya,8,4,3/10/2019,,10,,100,0,10,1000,3.00,0,,,,
288,village,Ghatol,Kargachiya,8,4,3/10/2019,,10,,100,0,317,30000,4.48,0,,,,
289,village,Ghatol,Jharkaniya,9,4,04/10/2019,,10,,100,0,29,2900,3.46,0,,,,
290,village,Ghatol,Jharkaniya,9,4,04/10/2019,,10,,100,5,27,2700,3.43,0,,,,
291,village,Ghatol,Jharkaniya,9,4,04/10/2019,,10,,100,3,32,3200,3.51,0,,,,
292,village,Ghatol,Jharkaniya,9,2,04/10/2019,,1,,1,45,8,80,1.90,0,,,,
293,village,Ghatol,Jharkaniya,9,1,04/10/2019,,1,,1,67,0,0,0.00,0,,,,
294,village,Ghatol,Jharkaniya,9,1,04/10/2019,,1,,1,40,0,0,0.00,0,,,,
295,village,Ghatol,Jharkaniya,9,2,04/10/2019,,9,,200,0,347,60000,4.78,3,,,,
296,village,Ghatol,Jharkaniya,9,1,04/10/2019,,9,,200,0,300+,60000,4.78,3,,,,
297,village,Ghatol,Jharkaniya,9,1,04/10/2019,,9,,200,2,385,60000,4.78,3,,,,
298,village,Ghatol,Thikariya Chandrawat,5,4,05/10/2019,,10,,100,2,77,7700,3.89,0,,,,
299,village,Ghatol,Thikariya Chandrawat,5,4,05/10/2019,,10,,10,11,37,370,2.57,0,,,,
300,village,Ghatol,Thikariya Chandrawat,5,4,05/10/2019,,10,,100,0,10,1000,3.00,0,,,,
301,village,Ghatol,Thikariya Chandrawat,5,2,05/10/2019,,1,,1,40,9,9,0.95,2,,,,
302,village,Ghatol,Thikariya Chandrawat,5,1,05/10/2019,,1,,1,3,3,3,0.48,2,,,,
303,village,Ghatol,Thikariya Chandrawat,5,1,05/10/2019,,1,,1,30,1,1,0.00,2,,,,
304,village,Ghatol,Thikariya Chandrawat,5,2,05/10/2019,,9,,200,1,300+,60000,4.78,3,,,,
305,village,Ghatol,Thikariya Chandrawat,5,1,05/10/2019,,9,,200,0,21,4200,3.62,0,,,,
306,village,Ghatol,Thikariya Chandrawat,5,1,05/10/2019,,9,,200,0,19,3800,3.58,0,,,,
307,village,Kushalgarh,Bansri,4,4,10/10/2019,,10,,100,25,3,300,2.48,0,,,,
308,village,Kushalgarh,Bansri,4,4,10/10/2019,,10,,100,76,1,100,2.00,0,,,,
309,village,Kushalgarh,Bansri,4,4,10/10/2019,,10,,100,500+,29,2900,3.46,0,,,,
310,village,Kushalgarh,Bansri,4,2,10/10/2019,,1,,1,146,11,11,1.04,0,,,,
311,village,Kushalgarh,Bansri,4,1,10/10/2019,,1,,1,124,12,12,1.08,0,,,,
312,village,Kushalgarh,Bansri,4,1,10/10/2019,,1,,1,343,104,104,2.02,0,,,,
313,village,Kushalgarh,Bansri,4,2,10/10/2019,,9,,200,500+,300+,60000,4.78,3,,,,
314,village,Kushalgarh,Bansri,4,1,10/10/2019,,9,,200,68,300+,60000,4.78,3,,,,
315,village,Kushalgarh,Bansri,4,1,10/10/2019,,9,,200,500+,300+,60000,4.78,3,,,,
316,village,Kushalgarh,Bansri,4,4,10/10/2019,,5,,10,132,13,130,2.11,0,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
