Sample ID,HHID,Block,Village,Cvillage,Location,Date,Sample source,Csamplesource,Omit,Dilution,Coliforms_CFU,Ecoli_CFU,CFU_100mL,Log10CFU,Methoderror,,,,
47,GGH4,Ghatol,Garnawat,1,3,11/10/2019,Mother's hands,8,0,1,0,0,0,0.00,4,,,,
48,GGH5,Ghatol,Garnawat,1,3,14/10/2019,HP,1,0,1,,48,48,1.68,0,,,,
49,GGH5,Ghatol,Garnawat,1,3,14/10/2019,Stored water,2,0,10,,106,1060,3.03,0,,,,
50,GGH5,Ghatol,Garnawat,1,3,14/10/2019,Soil indoor,9,1,200,,300+,60000,4.78,3,,,,
51,GGH5,Ghatol,Garnawat,1,3,14/10/2019,Soil outdoor,9,0,200,,52,104000,5.02,0,,,,
52,GGH5,Ghatol,Garnawat,1,3,14/10/2019,Childs hands,7,0,1,0,0,0,0.00,4,,,,
53,GGH5,Ghatol,Garnawat,1,3,14/10/2019,Fathers hands,8,0,10,0,0,0,0.00,4,,,,
54,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,HP,1,0,1,87,3,3,0.48,2,,,,
55,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Stored water,2,0,10,14,7,70,1.85,0,,,,
56,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Soil indoor,9,1,1000,500+,300+,300000,5.48,0,,,,
57,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Soil outdoor,9,0,200,500+,300+,60000,4.78,3,,,,
58,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Childs hands (2m),7,0,1,500+,48,48,1.68,0,,,,
59,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Childs hands (10m),7,0,1,500+,56,56,1.75,0,,,,
60,KDH5,Kushalgarh,DevdaSath,2,3,15/10/2019,Mothers' hands,8,0,1,500+,90,90,1.95,0,,,,
61,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,source water (well),5,0,10,266,3,30,1.48,0,,,,
62,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,Stored water (well source),3,0,10,300+,50,500,2.70,0,,,,
63,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,Soil indoor,9,0,1000,4,24,24000,4.38,0,,,,
64,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,Soil outdoor,9,1,1000,300+,300+,60000,4.78,0,,,,
65,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,Childs hands (2m),7,0,1,300+,300+,300,2.48,3,,,,
66,KDH6,Kushalgarh,DevdaSath,2,3,16/10/2019,Mothers' hands,8,0,1,300+,300+,300,2.48,3,,,,
67,GGH6,Ghatol,Garnawat,1,3,17/10/2019,HP,1,0,1,187,6,6,0.78,2,,,,
68,GGH6,Ghatol,Garnawat,1,3,17/10/2019,Stored water,2,0,10,0,119,1190,3.08,0,,,,
69,GGH6,Ghatol,Garnawat,1,3,17/10/2019,Childs hands,7,0,4,,300+,1200,3.08,3,,,,
70,GGH6,Ghatol,Garnawat,1,3,17/10/2019,Mothers hands,8,0,1,,86,86,1.93,0,,,,
71,GGH6,Ghatol,Garnawat,1,3,17/10/2019,Soil Indoor,9,0,1000,300+,132,132000,5.12,0,,,,
72,GGH6,Ghatol,Garnawat,1,3,17/10/2019,Soil Outdoor,9,1,1000,,300+,300000,5.48,0,,,,
73,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,HP,1,0,1,300+,1,1,0.00,2,,,,
74,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,Stored water,2,0,10,100,36,360,2.56,0,,,,
75,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,Well (for dry season),5,0,10,56,24,240,2.38,0,,,,
76,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,Mothers hand,8,0,4,300+,168,672,2.83,0,,,,
77,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,Child hand,7,0,1,300+,179,179,2.25,0,,,,
78,KDH7,Kushalgarh,DevdaSath,2,3,19/10/2019,Soil O/I,9,0,1000,300+,177,177000,5.25,0,,,,
79,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,HP,1,0,1,0,65,65,1.81,0,,,,
80,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,Stored water,2,0,10,0,22,220,2.34,0,,,,
81,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,Well (for dry season),5,0,10,97,213,2130,3.33,0,,,,
82,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,Mothers hand,8,0,4,300+,68,272,2.43,0,,,,
83,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,Child hand,7,0,10,300+,121,1210,3.08,0,,,,
84,KDH8,Kushalgarh,DevdaSath,2,3,19/10/2019,Soil O/I,9,0,1000,300+,300+,300000,5.48,0,,,,
85,KDH9,Kushalgarh,DevdaSath,2,3,01/11/2019,HP,1,0,1,300+,52,52,1.72,0,,,,
86,KDH9,Kushalgarh,DevdaSath,2,3,01/11/2019,Nala water,10,0,100,38,300+,30000,4.48,0,,,,
87,KDH9,Kushalgarh,DevdaSath,2,3,01/11/2019,Soil I/O,9,0,1000,300+,148,148000,5.17,0,,,,
88,KDH9,Kushalgarh,DevdaSath,2,3,01/11/2019,Mothers hands,8,0,4,0,82,328,2.52,0,,,,
89,KDH9,Kushalgarh,DevdaSath,2,3,01/11/2019,Childrens hands,7,0,4,300+,8,32,1.51,0,,,,
90,KDH10,Kushalgarh,DevdaSath,2,3,01/11/2019,HP,1,0,1,44,2,2,0.30,2,,,,
91,KDH10,Kushalgarh,DevdaSath,2,3,01/11/2019,stored water,2,0,10,105,21,210,2.32,0,,,,
92,KDH10,Kushalgarh,DevdaSath,2,3,01/11/2019,Soil kitchen,9,0,1000,300+,300+,300000,5.48,0,,,,
93,KDH10,Kushalgarh,DevdaSath,2,3,01/11/2019,Mothers hands,8,0,4,300+,0,0,0.00,4,,,,
94,KDH10,Kushalgarh,DevdaSath,2,3,01/11/2019,Childrens hands,7,0,4,300+,0,0,0.00,4,,,,
95,GGH7,Ghatol,Garnawat,1,3,02/11/2019,borewell,6,0,1,300+,27,27,1.43,0,,,,
96,GGH7,Ghatol,Garnawat,1,3,02/11/2019,stored water (borewell source),4,0,10,21,5,50,1.70,0,,,,
97,GGH7,Ghatol,Garnawat,1,3,02/11/2019,Soil I/O,9,0,1000,300+,10,10000,4.00,0,,,,
98,GGH7,Ghatol,Garnawat,1,3,02/11/2019,Mothers hands,8,0,4,300+,0,0,0.00,4,,,,
99,GGH7,Ghatol,Garnawat,1,3,02/11/2019,Childrens hands,7,0,1,300+,0,0,0.00,4,,,,
100,GGH8,Ghatol,Garnawat,1,3,02/11/2019,HP,1,0,1,300+,0,0,0.00,0,,,,
101,GGH8,Ghatol,Garnawat,1,3,02/11/2019,stored water,2,0,10,9,0,0,0.00,1,,,,
102,GGH8,Ghatol,Garnawat,1,3,02/11/2019,Soil I/O,9,0,1000,0,4,4000,3.60,0,,,,
103,GGH8,Ghatol,Garnawat,1,3,02/11/2019,Mothers hands,8,0,4,300+,240,960,2.98,0,,,,
104,GGH8,Ghatol,Garnawat,1,3,02/11/2019,Childrens hands,7,0,1,300+,50,50,1.70,0,,,,
105,GGH9,Ghatol,Garnawat,1,3,05/11/2019,HP,1,0,1,200,3,3,0.48,2,,,,
106,GGH9,Ghatol,Garnawat,1,3,05/11/2019,stored water,2,0,1,4,43,43,1.63,0,,,,
107,GGH9,Ghatol,Garnawat,1,3,05/11/2019,Soil I/O,9,0,200,3,7,1400,3.15,0,,,,
108,GGH9,Ghatol,Garnawat,1,3,05/11/2019,Mothers hands,8,0,10,0,80,800,2.90,0,,,,
109,GGH9,Ghatol,Garnawat,1,3,05/11/2019,Childrens hands,7,0,10,0,300+,3000,3.48,0,,,,
110,GGH10,Ghatol,Garnawat,1,3,05/11/2019,HP,1,0,1,3,0,0,0.00,0,,,,
111,GGH10,Ghatol,Garnawat,1,3,05/11/2019,stored water,2,0,1,34,39,39,1.59,0,,,,
112,GGH10,Ghatol,Garnawat,1,3,05/11/2019,Soil I/O,9,0,400,11,20,8000,3.90,0,,,,
113,GGH10,Ghatol,Garnawat,1,3,05/11/2019,Mothers hands,8,0,4,0,300+,1200,3.08,3,,,,
114,GGH10,Ghatol,Garnawat,1,3,05/11/2019,Childrens hands,7,0,10,7,300+,3000,3.48,0,,,,
115,KBH1,Kushalgarh,Bansri,4,3,06/11/2019,HP,1,0,1.00,90,1,1,0.00,2,,,,
116,KBH1,Kushalgarh,Bansri,4,3,06/11/2019,SW,2,0,1.00,300+,225,225,2.35,0,,,,
117,KBH1,Kushalgarh,Bansri,4,3,06/11/2019,CH,7,0,1.00,0,0,0,0.00,4,,,,
118,KBH1,Kushalgarh,Bansri,4,3,06/11/2019,MH,8,0,1.00,0,0,0,0.00,4,,,,
119,KBH1,Kushalgarh,Bansri,4,3,06/11/2019,Soil,9,0,400,200,79,31600,4.50,0,,,,
120,KBH2,Kushalgarh,Bansri,4,3,07/11/2019,HP,1,0,1.00,256,3,3,0.48,2,,,,
121,KBH2,Kushalgarh,Bansri,4,3,07/11/2019,SW,2,0,1.00,59,295,295,2.47,0,,,,
122,KBH2,Kushalgarh,Bansri,4,3,07/11/2019,CH,7,0,2.00,5,8,0,0.00,4,,,,
123,KBH2,Kushalgarh,Bansri,4,3,07/11/2019,MH,8,0,2.00,0,0,0,0.00,4,,,,
124,KBH2,Kushalgarh,Bansri,4,3,07/11/2019,Soil,9,0,200,10,3,600,2.78,0,,,,
125,GUH1,Ghatol,Udpura,3,3,08/11/2019,HP,1,0,1.00,300+,6,6,0.78,2,,,,
126,GUH1,Ghatol,Udpura,3,3,08/11/2019,SW,2,0,1.00,300+,180,180,2.26,0,,,,
127,GUH1,Ghatol,Udpura,3,3,08/11/2019,CH,7,0,2.00,1,0,0,0.00,4,,,,
128,GUH1,Ghatol,Udpura,3,3,08/11/2019,MH,8,0,2.00,0,0,0,0.00,4,,,,
129,GUH1,Ghatol,Udpura,3,3,08/11/2019,Soil,9,0,200,220,3,600,2.78,0,,,,
130,GUH2,Ghatol,Udpura,3,3,08/11/2019,HP,1,0,10,120,75,750,2.88,0,,,,
